Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,SPY,XOM
2015-01-05,-0.028576082256826913,-0.02073069374229033,-0.01923779557331922,-0.007008936322960681,-0.031537299715164134,-0.009238464815019913,-0.018224935495295375,-0.027742945684667765
2015-01-06,9.408870320647201e-05,-0.02309805250552857,-0.02498908726105104,-0.004925817344333291,-0.02627076837517566,-0.014785904615736969,-0.009463507338473754,-0.005330237837792538
2015-01-07,0.013924719373930031,0.010543956937772861,-0.002945387819653182,0.021835591694796323,0.001524762617873238,0.012625073651057727,0.012384307629402149,0.010081261987706055
2015-01-08,0.03770272482993039,0.006812759380520335,0.0034782588283351467,0.007832341836094452,0.0221001559270747,0.02899420521764428,0.01758922762111475,0.016507676144579198
2015-01-09,0.0010720888897745762,-0.011818170381278284,-0.012286463838581464,-0.013722879035896644,-0.017539940788531848,-0.008440918333503022,-0.008045422957937438,-0.0014103936791697099
2015-01-12,-0.024949582469521857,-0.018765211590182393,-0.007336380150449309,-0.003435948018061243,-0.008631455679283518,-0.012581543200895235,-0.00786473790292529,-0.019405394295106706
2015-01-13,0.00883966165225098,0.011362407445480715,0.009491009386519091,0.0017191035297140702,0.00016995547094332593,-0.0051633605030969015,-0.0028168651597263884,-0.0036598049462629903
2015-01-14,-0.003818017762565032,-0.004999968410075042,0.008196640588523308,-0.007281128715538039,-0.03510975193176631,-0.008665843240645036,-0.006055059091707897,-0.0028930266770090377
2015-01-15,-0.027515175824744945,-0.021785701035730624,-0.003802270755859069,-0.014625384995723018,-0.03256067053700728,-0.010498454729076886,-0.00920299551393407,-0.008730257790279201
2015-01-16,-0.00780057553258892,0.013121402610751216,0.012716101538984547,0.015010105097670243,0.01694971339101276,0.016572150051281775,0.01302896454734256,0.0239903477968002
2015-01-20,0.025431205401402104,-0.004481346448052067,-0.0010191883468488503,-0.026787830626728376,-0.003941623173740971,0.0032390881425568945,0.0021304259385723587,-0.00032891649760410577
2015-01-21,0.007605127554413894,0.0266255183222718,0.02028551963595833,0.006004438688796067,0.003225685547251385,-0.01018337603554691,0.0050351531350220444,0.008526247898489353
2015-01-22,0.025682925498899053,0.04303046145131587,0.0319781178905928,0.01808853609629994,0.029963722452116637,0.026008806086788263,0.014761566664634414,0.010826305537740359
2015-01-23,0.005146755250753036,0.006648407611927956,0.00861701682370547,-0.015149158945441884,-0.015927716729432148,0.0010605569463224425,-0.005498036955559505,-0.02155056578939028
2015-01-26,0.0010614470392226968,-0.008777508890486037,-0.0096971189354027,0.0005870832531423967,0.00158649642211271,-0.0036098257749997563,0.002339139414244669,0.009526316011936035
2015-01-27,-0.03564085708643314,-0.009441849857626305,-0.029361906396712635,-0.0016639263780886162,-0.010090948396995553,-0.09709855219326419,-0.013278358951053025,-0.008866404875250658
2015-01-28,0.054992786921524914,-0.009301429174865683,-0.016950536539634124,-0.005992925746785967,-0.026139298006133137,-0.0350660232093607,-0.012907313883293683,-0.03354141937216017
