Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,SPY,XOM
2015-01-02,24.237550735473633,15.425999641418457,26.27894401550293,76.95556640625,46.51113510131836,39.85845184326172,170.58963012695312,57.91689682006836
2015-01-05,23.554738998413086,15.10949993133545,25.778226852416992,76.41807556152344,45.06718826293945,39.49191665649414,167.50880432128906,56.33219528198242
2015-01-06,23.556955337524414,14.76449966430664,25.14203453063965,76.0425796508789,43.89865493774414,38.912288665771484,165.93106079101562,56.03273010253906
2015-01-07,23.88727378845215,14.920999526977539,25.068090438842773,77.72127532958984,43.965641021728516,39.406673431396484,167.998779296875,56.600467681884766
2015-01-08,24.805082321166992,15.02299976348877,25.15543556213379,78.33240509033203,44.94810485839844,40.56596374511719,170.97988891601562,57.542564392089844
2015-01-09,24.831689834594727,14.846500396728516,24.848255157470703,77.26480102539062,44.16659164428711,40.22499084472656,169.60980224609375,57.461463928222656
2015-01-12,24.21981430053711,14.570500373840332,24.6666259765625,76.9997787475586,43.787010192871094,39.722068786621094,168.28109741210938,56.35715103149414
2015-01-13,24.434858322143555,14.737000465393066,24.901851654052734,77.13226318359375,43.79445266723633,39.51749801635742,167.8077392578125,56.15127182006836
2015-01-14,24.34174346923828,14.66349983215332,25.106801986694336,76.57269287109375,42.28351974487305,39.1765251159668,166.7947235107422,55.98905944824219
2015-01-15,23.681106567382812,14.34749984741211,25.011520385742188,75.4609375,40.92891311645508,38.76738357543945,165.26675415039062,55.50238800048828
2015-01-16,23.497098922729492,14.536999702453613,25.331600189208984,76.60215759277344,41.62855911254883,39.41519546508789,167.43409729003906,56.85000991821289
2015-01-20,24.10232162475586,14.472000122070312,25.305795669555664,74.577392578125,41.46479797363281,39.54307174682617,167.7911834716797,56.83131408691406
2015-01-21,24.28632164001465,14.862500190734863,25.824378967285156,75.02653503417969,41.5987663269043,39.142433166503906,168.63816833496094,57.31794357299805
2015-01-22,24.91814422607422,15.515999794006348,26.66353988647461,76.39600372314453,42.86408233642578,40.17383575439453,171.14599609375,57.941856384277344
2015-01-23,25.046722412109375,15.619500160217285,26.8942928314209,75.24739074707031,42.186763763427734,40.21646499633789,170.20761108398438,56.70653533935547
2015-01-26,25.073322296142578,15.482999801635742,26.634756088256836,75.29158020019531,42.253746032714844,40.07155227661133,170.60621643066406,57.24932098388672
2015-01-27,24.195425033569336,15.337499618530273,25.864078521728516,75.1664047241211,41.82950973510742,36.36359405517578,168.35581970214844,56.74396896362305
2015-01-28,25.563264846801758,15.195500373840332,25.429363250732422,74.71728515625,40.750282287597656,35.110565185546875,166.19676208496094,54.87226104736328
2015-01-29,26.359142303466797,15.58899974822998,25.469066619873047,75.37993621826172,41.435028076171875,35.80952835083008,167.7329864501953,54.641414642333984
2015-01-30,25.973400115966797,17.726499557495117,26.675947189331055,73.73068237304688,40.47488021850586,34.437156677246094,165.623779296875,54.54157638549805
2015-02-02,26.29928207397461,18.223499298095703,26.410449981689453,74.23871612548828,41.28616714477539,35.18728256225586,167.67486572265625,55.88921356201172
2015-02-03,26.303720474243164,18.177499771118164,26.465038299560547,75.4388427734375,42.2165412902832,35.46004867553711,170.09971618652344,57.555049896240234
2015-02-04,26.50545310974121,18.237499237060547,26.107736587524414,74.62894439697266,41.9634895324707,35.66462326049805,169.45201110839844,57.062156677246094
2015-02-05,26.694639205932617,18.694499969482422,26.2928409576416,75.4388427734375,42.253746032714844,36.18458938598633,171.16261291503906,57.62367248535156
2015-02-06,26.469846725463867,18.714000701904297,26.493818283081055,74.43750762939453,43.08738708496094,36.15049362182617,170.6892547607422,57.516822814941406
2015-02-09,26.64566993713379,18.527999877929688,26.265546798706055,73.46561431884766,43.03525161743164,36.10787582397461,169.9253387451172,57.55451965332031
2015-02-10,27.157575607299805,18.649999618530273,26.805463790893555,73.88529968261719,43.51161575317383,36.31245040893555,171.7355499267578,57.20880126953125
2015-02-11,27.794118881225586,18.756999969482422,26.698274612426758,73.9073715209961,43.44463348388672,36.124916076660156,171.83518981933594,56.95106887817383
2015-02-12,28.145771026611328,18.85849952697754,27.09577178955078,72.47901153564453,44.337791442871094,36.73012924194336,173.4877166748047,58.06370162963867
2015-02-13,28.283761978149414,19.09149932861328,27.351341247558594,73.34782409667969,44.412208557128906,37.3950080871582,174.2018585205078,58.69229507446289
2015-02-17,28.4506893157959,18.771499633789062,27.046146392822266,73.95157623291016,44.73226547241211,37.412174224853516,174.47586059570312,58.491127014160156
2015-02-18,28.648771286010742,18.668500900268555,26.929031372070312,73.59815216064453,44.18891906738281,37.3692512512207,174.4925079345703,57.20880126953125
2015-02-19,28.588672637939453,18.950000762939453,27.11760711669922,74.14298248291016,44.084716796875,37.343505859375,174.367919921875,56.221885681152344
2015-02-20,28.822376251220703,19.183000564575195,26.886850357055664,74.33575439453125,44.50897216796875,37.65254592895508,175.4142608642578,56.523616790771484
2015-02-23,29.601356506347656,19.006999969482422,26.549402236938477,74.27641296386719,44.17405319213867,37.90149688720703,175.3893585205078,55.95161056518555
2015-02-24,29.416627883911133,18.929500579833984,26.730533599853516,74.66199493408203,45.26814651489258,37.8499870300293,175.8875732421875,56.20931625366211
2015-02-25,28.664358139038086,19.26849937438965,27.161277770996094,75.04010772705078,45.506324768066406,37.76414489746094,175.73814392089844,56.322479248046875
2015-02-26,29.027132034301758,19.239999771118164,27.754793167114258,76.218994140625,45.83383560180664,37.82425308227539,175.5304718017578,55.72530746459961
2015-02-27,28.59090805053711,19.007999420166016,27.92053985595703,76.00399017333984,45.61053466796875,37.64395523071289,174.93258666992188,55.656158447265625
